Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,Explicit Track,Unnamed: 28
Semangat Kerjanya Kawan,Semangat Kerjanya Kawan,Aldo Zee,19/09/2022,SGB502242208,"1,891","33,4","32,642",7,"2,063",1.0,"50,391",373,3622500,8929235,235913641,,,,,,,,,,,,0.0,
Libaas,Libaas,Kaka,19/11/2020,INS402000018,"1,889","33,4",76630812,"8,933",1073356,51.0,964253382,9620300,"199,165",7327817,99450429,865457,4.0,20,,,,5.0,7,,,264288,0.0,
OOOUUU,OOOUUU,Young M.A,20/05/2016,US6YF1600026,"1,888","33,4",316267018,"68,407",10932431,60.0,515355994,3980712,"83,37",35643009,286622729,2170348,165.0,7714,,10.0,7187,12.0,144019785,192642,109465969,2698587,1.0,
Flooded The Face,Pink Tape,Lil Uzi Vert,30/06/2023,USAT22306846,"1,885","33,4",125102655,"54,044",18974212,66.0,7154684,"115,132","6,55",1263286,9831629,174647301,26.0,,,4.0,20831,1.0,502164,1157,,207467,1.0,
"90-90 Nabbe Nabbe (From ""Jatt Nuu Chudail Takri"")","90-90 Nabbe Nabbe (From ""Jatt Nuu Chudail Takri"")",Gippy Grewal,20/02/2024,INM432400019,"1,892","33,4",6576855,307,"62,869",,66986452,456,"128,6",774,6127,33272955,1.0,91,,,,,,,,43588,0.0,
"Ranjithame (From ""Varisu"")","Ranjithame (From ""Varisu"")",Thalapathy Vijay,05/11/2022,INS182203495,"1,89","33,4",123908201,"6,218",4505067,62.0,417372813,3801568,,,,70876135,1.0,,,,,4.0,,,,62937,0.0,
X SI VOLVEMOS,X SI VOLVEMOS,KAROL G,03/02/2023,USUM72222547,"1,887","33,4",491242756,"37,814",18470152,75.0,80668854,1002368,"37,716",4293404,77308719,1693129,57.0,23639,37.0,30.0,2744817,32.0,28747940,3596,,734819,1.0,
IT GIRL,IT GIRL,Aliyah's Interlude,30/09/2023,QZTB22388736,"1,894","33,3",118193328,"26,395",13098603,,16317704,"394,257","230,472",100318030,736463674,,10.0,342,8.0,2.0,1675,29.0,377548,4267,6417,669634,1.0,
It's A Wrap - Sped Up,It's A Wrap,Mariah Carey,10/02/2023,USUM72301683,"1,9","33,3",35004403,"6,013",1732149,51.0,,,2450912,309650224,2693255753,,4.0,29,417.0,,,8.0,92054,1102,,35868,0.0,
Never Be Lonely,Never Be Lonely,Jax Jones,09/02/2024,GBUM72400217,"1,896","33,3",27715232,"2,834",16731190,,10646067,"88,249",,,,33280611,31.0,56755,40.0,36.0,7400670,50.0,222437,,293113,519975,0.0,
"Give Me Everything (feat. Ne-Yo, Afrojack & Nayer)",Greatest Hits,Pitbull,01/01/2009,USJAY1100032,"1,898","33,3",1164166623,"262,779",103712117,81.0,1332702041,6176607,"142,435",20425129,225165270,1458438173,120.0,348,29.0,82.0,517742,19.0,595162539,451894,,16112049,0.0,
SPIT IN MY FACE!,SPIT IN MY FACE! - Single,ThxSoMch,20/12/2022,USAT22223103,"1,895","33,3",519330096,"67,639",18087902,74.0,"255,558","3,748",,,,,26.0,2969,,7.0,22420,11.0,1778625,5601,,1841098,1.0,
Iko Iko (My Bestie),Iko Iko (feat. Small Jam),Justin Wellington,03/06/2019,QZFYX1950028,"1,901","33,3",314672402,"85,038",16060938,64.0,203831150,1327160,2909294,336713853,3345046787,8287270,72.0,212908,,39.0,268404,14.0,1970428,7154,649849,8651171,0.0,
Beat Of Your Heart,Beat Of Your Heart - Single,Purple Disco Machine,26/01/2024,DEE862301861,"1,902","33,3",21179750,"3,144",19059841,,7849267,"75,556",,,,58998674,44.0,81555,,63.0,7355939,38.0,8608,10,,,0.0,
Low Life,EVOL,Future,12/02/2016,USSM11600557,"1,897","33,3",884825594,"165,579",32192169,72.0,838504706,3635933,"14,065",3965043,39734161,151660163,74.0,7064,,66.0,255865,14.0,410065915,91951,5228883,4453169,1.0,
Oi Erro - Ao Vivo,Oi Erro (Ao Vivo),Simone Mendes,24/03/2023,BRUM72202351,"1,899","33,3",23883628,"1,39",2563092,51.0,341471782,1328954,,450726,5358634,1018907021,3.0,173,,7.0,164494,5.0,,,,7075,0.0,
"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)","These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental,19/01/2018,GBAHS1701239,"1,893","33,3",1124147912,"131,363",33090658,65.0,705027078,3320463,"718,998",18900715,202227585,250146204,13.0,116212,,65.0,1197102,52.0,3075862,3013,12018131,,0.0,
Been Like This,Been Like This,Meghan Trainor,14/03/2024,USSM12401540,"1,903","33,2",44441672,"3,11",21182930,24.0,6534998,"164,262",,7764642,95682600,186561065,33.0,38516,336.0,30.0,865129,26.0,1310044,1685,,190730,0.0,
Rich Baby Daddy (feat. Sexyy Red & SZA),For All The Dogs,Drake,06/10/2023,USUG12306108,"1,91","33,2",372248119,"6,868",1527625,,,,,,,,17.0,115236,,1.0,31089,9.0,,,,,0.0,
Light It Up (feat. Nyla & Fuse ODG) [Remix],Peace Is The Mission,Major Lazer,29/05/2015,QMUY41500182,"1,907","33,2",1293191157,"147,868",30229579,72.0,606547382,4505365,"5,601",1739806,19401692,207022466,209.0,54267,448.0,71.0,492309,15.0,115098360,25201,70181589,10975728,0.0,
The Weekend - Funk Wav Remix,The Weekend (Funk Wav Remix),SZA,15/12/2017,USRC11702939,"1,909","33,2",463298197,"63,764",17642317,66.0,,,10092900,57608178,615951784,,69.0,5950,,27.0,93791,,1127864,9272,,1300812,0.0,
Un Coco,Un Verano Sin Ti,Bad Bunny,06/05/2022,QM6MZ2214892,"1,904","33,2",534736940,"54,87",16605882,73.0,243635144,1460980,35,53470902,327984369,20204348,11.0,1066,,1.0,72,4.0,17997118,4174,,751985,0.0,
Tutu,Tutu,Camilo,09/08/2019,USSD11900263,"1,908","33,2",594224324,"50,354",18628100,61.0,903046839,6893168,"691,299",11745148,140587874,275575570,89.0,13563,242.0,33.0,215002,32.0,24533016,20359,,1100391,0.0,
Tadow,Tadow,Masego,06/10/2017,QM24S1703810,"1,911","33,2",475786302,"169,485",31599668,72.0,587498816,5883117,1017927,267389439,1965697775,15937686,62.0,3354,74.0,30.0,138867,36.0,45202847,60956,,6595975,0.0,
Heart Like A Truck,Heart Like A Truck,Lainey Wilson,20/05/2022,QMRSZ2200986,"1,906","33,2",156975001,"21,559",5658951,68.0,96079749,"597,275","192,794",29435568,313652545,328117737,,256048,130.0,3.0,87459,,35986096,37567,1447109,,0.0,
Honey Boy (feat. Nile Rodgers & Shenseea),Honey Boy (feat. Nile Rodgers & Shenseea) - Single,Purple Disco Machine,03/05/2024,DEE862400579,"1,905","33,2",19468909,"2,924",43639283,73.0,1130001,"20,708",,,,777,38.0,13552,,64.0,1639901,21.0,10518,15,,134063,0.0,
Creeper Star,Creeper Star,Leo Walrus,29/11/2022,GX8MK2200002,"1,915","33,1",,28,283,2.0,445360465,"369,291",1,25,541,,,12,,,,,,,,,0.0,
Ya Acabo,"DEV, Vol. 2",Marca MP,19/02/2021,QZFZ62111678,"1,916","33,1",340744110,"34,114",13462017,65.0,616701633,3072699,"148,099",24444067,229127001,16616564,8.0,3944,328.0,3.0,178476,9.0,79403159,20882,,1239032,0.0,
Love You So,The King Khan & BBQ Show,The King Khan & BBQ Show,01/01/2005,USA3D0700101,"1,918","33,1",16326628,"12,434",3542140,44.0,7603329,"122,78",35323801,18422696340,214844000000,13579446,9.0,215,17.0,12.0,211251,12.0,107438,,,632600,0.0,
